pair_id,definition_id,ddinter_id_a,drug_a,drugbank_id_a,ddinter_id_b,drug_b,drugbank_id_b,severity,mechanism,pair_key,detail_url,scraped_at
964592,2192,DDInter1553,Quetiapine,,DDInter883,Hydrochlorothiazide,,Moderate,Synergy,DDInter1553|DDInter883,https://ddinter.scbdd.com/ddinter/interact/964592/,2026-09-09T19:00:02+00:00
964599,1927,DDInter1605,Risperidone,,DDInter883,Hydrochlorothiazide,,Moderate,Synergy,DDInter1605|DDInter883,https://ddinter.scbdd.com/ddinter/interact/964599/,2026-09-09T19:00:17+00:00
964656,5419,DDInter1927,Venlafaxine,,DDInter883,Hydrochlorothiazide,,Moderate,Synergy,DDInter1927|DDInter883,https://ddinter.scbdd.com/ddinter/interact/964656/,2026-09-09T18:59:58+00:00
964660,2900,DDInter1951,Warfarin,,DDInter883,Hydrochlorothiazide,,Minor,Others,DDInter1951|DDInter883,https://ddinter.scbdd.com/ddinter/interact/964660/,2026-09-09T19:00:04+00:00
965309,1297,DDInter1164,Metformin,DB00331,DDInter118,Aripiprazole,DB01238,Moderate,Antagonism,DDInter1164|DDInter118,https://ddinter.scbdd.com/ddinter/interact/965309,2026-09-09T10:10:13+00:00
965336,1374,DDInter1164,Metformin,,DDInter384,Ciprofloxacin,,Moderate,Antagonism,DDInter1164|DDInter384,https://ddinter.scbdd.com/ddinter/interact/965336/,2026-09-09T19:00:12+00:00
965337,4390,DDInter1164,Metformin,,DDInter393,Clarithromycin,,Moderate,Metabolism,DDInter1164|DDInter393,https://ddinter.scbdd.com/ddinter/interact/965337/,2026-09-09T19:00:15+00:00
965354,1297,DDInter1164,Metformin,DB00331,DDInter513,Dexamethasone,DB01234,Moderate,Antagonism,DDInter1164|DDInter513,https://ddinter.scbdd.com/ddinter/interact/965354,2026-09-09T10:10:13+00:00
965368,1430,DDInter1164,Metformin,,DDInter554,Digoxin,,Moderate,Excretion,DDInter1164|DDInter554,https://ddinter.scbdd.com/ddinter/interact/965368/,2026-09-09T19:00:11+00:00
965371,4500,DDInter1164,Metformin,,DDInter638,Enalapril,,Moderate,Others,DDInter1164|DDInter638,https://ddinter.scbdd.com/ddinter/interact/965371/,2026-09-09T19:00:38+00:00
965392,4356,DDInter1164,Metformin,,DDInter790,Furosemide,,Moderate,Others,DDInter1164|DDInter790,https://ddinter.scbdd.com/ddinter/interact/965392/,2026-09-09T19:00:31+00:00
965397,2176,DDInter1164,Metformin,,DDInter825,Glimepiride,,Moderate,Synergy,DDInter1164|DDInter825,https://ddinter.scbdd.com/ddinter/interact/965397/,2026-09-09T19:00:25+00:00
965434,4942,DDInter1164,Metformin,,DDInter995,Itraconazole,,Minor,Metabolism,DDInter1164|DDInter995,https://ddinter.scbdd.com/ddinter/interact/965434/,2026-09-09T19:00:36+00:00
965436,1711,DDInter1020,Lamotrigine,,DDInter1164,Metformin,,Minor,Excretion,DDInter1020|DDInter1164,https://ddinter.scbdd.com/ddinter/interact/965436/,2026-09-09T19:00:28+00:00
965438,1374,DDInter1055,Levofloxacin,,DDInter1164,Metformin,,Moderate,Antagonism,DDInter1055|DDInter1164,https://ddinter.scbdd.com/ddinter/interact/965438/,2026-09-09T16:54:42+00:00
965476,1297,DDInter1164,Metformin,DB00331,DDInter1326,Olanzapine,DB00334,Moderate,Antagonism,DDInter1164|DDInter1326,https://ddinter.scbdd.com/ddinter/interact/965476,2026-09-09T10:10:13+00:00
965495,1297,DDInter1460,Phenytoin,DB00252,DDInter1164,Metformin,DB00331,Moderate,Antagonism,DDInter1164|DDInter1460,https://ddinter.scbdd.com/ddinter/interact/965495,2026-09-09T10:10:13+00:00
965506,1297,DDInter1164,Metformin,DB00331,DDInter1553,Quetiapine,DB01224,Moderate,Antagonism,DDInter1164|DDInter1553,https://ddinter.scbdd.com/ddinter/interact/965506,2026-09-09T10:10:13+00:00
965514,2525,DDInter1164,Metformin,,DDInter1590,Rifampicin,,Moderate,Absorption,DDInter1164|DDInter1590,https://ddinter.scbdd.com/ddinter/interact/965514/,2026-09-09T19:00:33+00:00
965516,1297,DDInter1164,Metformin,DB00331,DDInter1605,Risperidone,DB00734,Moderate,Antagonism,DDInter1164|DDInter1605,https://ddinter.scbdd.com/ddinter/interact/965516,2026-09-09T10:10:13+00:00
965517,1297,DDInter1164,Metformin,DB00331,DDInter1607,Ritonavir,DB00503,Moderate,Antagonism,DDInter1164|DDInter1607,https://ddinter.scbdd.com/ddinter/interact/965517,2026-09-09T10:10:13+00:00
965527,5271,DDInter1164,Metformin,,DDInter1707,Spironolactone,,Moderate,Synergy,DDInter1164|DDInter1707,https://ddinter.scbdd.com/ddinter/interact/965527/,2026-09-09T19:00:19+00:00
965529,1297,DDInter1164,Metformin,DB00331,DDInter1735,Tacrolimus,DB00864,Moderate,Antagonism,DDInter1164|DDInter1735,https://ddinter.scbdd.com/ddinter/interact/965529,2026-09-09T10:10:13+00:00
965558,2958,DDInter1164,Metformin,,DDInter1951,Warfarin,,Moderate,Metabolism,DDInter1164|DDInter1951,https://ddinter.scbdd.com/ddinter/interact/965558/,2026-09-09T19:00:21+00:00
968669,2670,DDInter108,Apixaban,,DDInter76,Amiodarone,,Moderate,Metabolism,DDInter108|DDInter76,https://ddinter.scbdd.com/ddinter/interact/968669/,2026-09-09T16:54:45+00:00
968674,5141,DDInter118,Aripiprazole,,DDInter76,Amiodarone,,Moderate,Metabolism,DDInter118|DDInter76,https://ddinter.scbdd.com/ddinter/interact/968674/,2026-09-09T16:54:57+00:00
968684,3189,DDInter133,Atorvastatin,,DDInter76,Amiodarone,,Moderate,Metabolism,DDInter133|DDInter76,https://ddinter.scbdd.com/ddinter/interact/968684/,2026-09-09T19:00:34+00:00
968689,338,DDInter157,Azithromycin,,DDInter76,Amiodarone,,Major,Synergy; Metabolism,DDInter157|DDInter76,https://ddinter.scbdd.com/ddinter/interact/968689/,2026-09-09T19:00:23+00:00
968702,160,DDInter216,Bisoprolol,,DDInter76,Amiodarone,,Moderate,Synergy,DDInter216|DDInter76,https://ddinter.scbdd.com/ddinter/interact/968702/,2026-09-09T19:00:26+00:00
968721,3132,DDInter293,Carbamazepine,,DDInter76,Amiodarone,,Major,Metabolism,DDInter293|DDInter76,https://ddinter.scbdd.com/ddinter/interact/968721/,2026-09-09T19:00:30+00:00
968727,160,DDInter305,Carvedilol,,DDInter76,Amiodarone,,Moderate,Synergy,DDInter305|DDInter76,https://ddinter.scbdd.com/ddinter/interact/968727/,2026-09-09T19:00:40+00:00
968744,4343,DDInter384,Ciprofloxacin,,DDInter76,Amiodarone,,Major,Synergy,DDInter384|DDInter76,https://ddinter.scbdd.com/ddinter/interact/968744/,2026-09-09T19:00:47+00:00
968748,338,DDInter393,Clarithromycin,,DDInter76,Amiodarone,,Major,Synergy; Metabolism,DDInter393|DDInter76,https://ddinter.scbdd.com/ddinter/interact/968748/,2026-09-09T19:00:42+00:00
968754,1583,DDInter413,Clopidogrel,,DDInter76,Amiodarone,,Moderate,Metabolism,DDInter413|DDInter76,https://ddinter.scbdd.com/ddinter/interact/968754/,2026-09-09T19:00:48+00:00
968766,3721,DDInter458,Cyclosporine,,DDInter76,Amiodarone,,Moderate,Absorption; Metabolism,DDInter458|DDInter76,https://ddinter.scbdd.com/ddinter/interact/968766/,2026-09-09T19:00:52+00:00
968781,3132,DDInter513,Dexamethasone,,DDInter76,Amiodarone,,Major,Metabolism,DDInter513|DDInter76,https://ddinter.scbdd.com/ddinter/interact/968781/,2026-09-09T19:00:59+00:00
968789,2167,DDInter554,Digoxin,,DDInter76,Amiodarone,,Major,Distribution,DDInter554|DDInter76,https://ddinter.scbdd.com/ddinter/interact/968789/,2026-09-09T19:01:08+00:00
968809,3439,DDInter608,Duloxetine,,DDInter76,Amiodarone,,Moderate,Metabolism,DDInter608|DDInter76,https://ddinter.scbdd.com/ddinter/interact/968809/,2026-09-09T19:01:04+00:00
968831,363,DDInter672,Escitalopram,,DDInter76,Amiodarone,,Major,Synergy,DDInter672|DDInter76,https://ddinter.scbdd.com/ddinter/interact/968831/,2026-09-09T16:57:42+00:00
968852,5547,DDInter743,Fluconazole,,DDInter76,Amiodarone,,Major,Metabolism,DDInter743|DDInter76,https://ddinter.scbdd.com/ddinter/interact/968852/,2026-09-09T19:01:05+00:00
968855,363,DDInter758,Fluoxetine,,DDInter76,Amiodarone,,Major,Synergy,DDInter758|DDInter76,https://ddinter.scbdd.com/ddinter/interact/968855/,2026-09-09T19:00:54+00:00
968916,5547,DDInter76,Amiodarone,,DDInter995,Itraconazole,,Major,Metabolism,DDInter76|DDInter995,https://ddinter.scbdd.com/ddinter/interact/968916/,2026-09-09T16:56:10+00:00
968943,4343,DDInter1055,Levofloxacin,,DDInter76,Amiodarone,,Major,Synergy,DDInter1055|DDInter76,https://ddinter.scbdd.com/ddinter/interact/968943/,2026-09-09T16:58:32+00:00
968976,4172,DDInter1174,Methotrexate,,DDInter76,Amiodarone,,Moderate,Others,DDInter1174|DDInter76,https://ddinter.scbdd.com/ddinter/interact/968976/,2026-09-09T19:00:50+00:00
968986,701,DDInter1202,Metronidazole,,DDInter76,Amiodarone,,Moderate,Synergy,DDInter1202|DDInter76,https://ddinter.scbdd.com/ddinter/interact/968986/,2026-09-09T19:01:02+00:00
969024,1872,DDInter1326,Olanzapine,,DDInter76,Amiodarone,,Moderate,Synergy,DDInter1326|DDInter76,https://ddinter.scbdd.com/ddinter/interact/969024/,2026-09-09T19:01:10+00:00
969063,689,DDInter1460,Phenytoin,,DDInter76,Amiodarone,,Major,Metabolism,DDInter1460|DDInter76,https://ddinter.scbdd.com/ddinter/interact/969063/,2026-09-09T19:00:56+00:00
969096,363,DDInter1553,Quetiapine,,DDInter76,Amiodarone,,Major,Synergy,DDInter1553|DDInter76,https://ddinter.scbdd.com/ddinter/interact/969096/,2026-09-09T19:01:45+00:00
969108,3132,DDInter1590,Rifampicin,,DDInter76,Amiodarone,,Major,Metabolism,DDInter1590|DDInter76,https://ddinter.scbdd.com/ddinter/interact/969108/,2026-09-09T19:00:58+00:00
969115,363,DDInter1605,Risperidone,,DDInter76,Amiodarone,,Major,Synergy,DDInter1605|DDInter76,https://ddinter.scbdd.com/ddinter/interact/969115/,2026-09-09T19:01:14+00:00
969117,255,DDInter1607,Ritonavir,,DDInter76,Amiodarone,,Major,Metabolism,DDInter1607|DDInter76,https://ddinter.scbdd.com/ddinter/interact/969117/,2026-09-09T16:56:58+00:00
969118,4806,DDInter1609,Rivaroxaban,,DDInter76,Amiodarone,,Moderate,Metabolism,DDInter1609|DDInter76,https://ddinter.scbdd.com/ddinter/interact/969118/,2026-09-09T16:57:49+00:00
969124,5119,DDInter1622,Rosuvastatin,,DDInter76,Amiodarone,,Moderate,Synergy,DDInter1622|DDInter76,https://ddinter.scbdd.com/ddinter/interact/969124/,2026-09-09T19:01:16+00:00
969143,58,DDInter1675,Simvastatin,,DDInter76,Amiodarone,,Major,Metabolism,DDInter1675|DDInter76,https://ddinter.scbdd.com/ddinter/interact/969143/,2026-09-09T19:01:20+00:00
969165,363,DDInter1735,Tacrolimus,,DDInter76,Amiodarone,,Major,Synergy,DDInter1735|DDInter76,https://ddinter.scbdd.com/ddinter/interact/969165/,2026-09-09T19:01:12+00:00
969186,1104,DDInter1791,Theophylline,DB00277,DDInter76,Amiodarone,DB01118,Moderate,Metabolism,DDInter1791|DDInter76,https://ddinter.scbdd.com/ddinter/interact/969186,2026-09-09T10:06:05+00:00
969191,4576,DDInter1802,Ticagrelor,,DDInter76,Amiodarone,,Moderate,Metabolism,DDInter1802|DDInter76,https://ddinter.scbdd.com/ddinter/interact/969191/,2026-09-09T16:58:21+00:00
969225,363,DDInter1927,Venlafaxine,,DDInter76,Amiodarone,,Major,Synergy,DDInter1927|DDInter76,https://ddinter.scbdd.com/ddinter/interact/969225/,2026-09-09T19:01:37+00:00
969237,2857,DDInter1951,Warfarin,,DDInter76,Amiodarone,,Major,Metabolism,DDInter1951|DDInter76,https://ddinter.scbdd.com/ddinter/interact/969237/,2026-09-09T19:01:41+00:00
970152,2670,DDInter108,Apixaban,,DDInter79,Amlodipine,,Moderate,Metabolism,DDInter108|DDInter79,https://ddinter.scbdd.com/ddinter/interact/970152/,2026-09-09T16:58:28+00:00
970156,2192,DDInter118,Aripiprazole,,DDInter79,Amlodipine,,Moderate,Synergy,DDInter118|DDInter79,https://ddinter.scbdd.com/ddinter/interact/970156/,2026-09-09T19:01:25+00:00
970159,3104,DDInter20,Acetylsalicylic acid,,DDInter79,Amlodipine,,Moderate,Antagonism,DDInter20|DDInter79,https://ddinter.scbdd.com/ddinter/interact/970159/,2026-09-09T19:01:28+00:00
970162,3189,DDInter133,Atorvastatin,,DDInter79,Amlodipine,,Moderate,Metabolism,DDInter133|DDInter79,https://ddinter.scbdd.com/ddinter/interact/970162/,2026-09-09T19:01:30+00:00
970176,2255,DDInter216,Bisoprolol,,DDInter79,Amlodipine,,Moderate,Synergy; Metabolism,DDInter216|DDInter79,https://ddinter.scbdd.com/ddinter/interact/970176/,2026-09-09T19:01:23+00:00
970206,4682,DDInter293,Carbamazepine,,DDInter79,Amlodipine,,Major,Metabolism,DDInter293|DDInter79,https://ddinter.scbdd.com/ddinter/interact/970206/,2026-09-09T19:01:33+00:00
